rows 105
m ..%...%.%...%.%%.........................%.........%...%%%%............%%.%%%%.............
m ............%...%...........................................%.........%%%%%%%...........%..
m ............%...................%%%%%....%..........%%.....%.%%............%.....%.%.......
m %.....%.....%.....................%%%%%%%%%............%....................%...%%..%......
m %..............................%.%%%%%%%%%%%%..%...........%%%%.............%%%%%...%...%..
m ....%....%.............%..%.%.....%%%%%%%%%%%%%%....%%%.....................%%%%%%...%.....
m ....%%...%.......................%%%...%%%%%%%......%%%%...................................
m .....%%%%%.....%.....%..%.......%........%%%%.........%%%.....%..........%.................
m .......%%%.....%..............%...........%.%...........%%....%................%...........
m .......%.%................%%%...........%.%.%................%%%.%.......%.%...............
m ..........%.....%%.......%%%.................................%%%.........%.%%..............
m .......................%.%...................................%%%...........%...............
m .........................%....................%.......%....................%%..............
m ....................%...%%...........%%....................................%...............
m .................%.%.....%%%%.......%%.%...%..........%..................................e.
m .....%.............%.%%..%%%%.......%.....%%........%%%%%................%.................
m .....................%%%%%%%........................%%%%....%...........%..................
m %%....%..............%..%...%%.....%.................%%%.%%%%..%%%.%%..............%......%
m %%%..%%...%.......%.....%%.....%..%..................%%%.%%%%..%%%%%%.....%%........%.....%
m %%%%%%.%%.%%.............%.%.........................%%%..%%%..%..%.......................%
m %.%%%%..%.%%.....%%%.......................................%%..%..%%..............%%%....%%
m ..%%%%...........%%%%.................%%...............................%.........%%%%%.....
m .....%.%...%.....%%%%%%....%%%...................................................%%%%%.....
m ....%%.%.....%..%%%%%%%...%%%%%%.....................................%..........%%.%.......
m ....%..%%%...%..%%........%%%%%...................................%%.......................
m ........%.......%%.......%%%%%%%%................................%%%.........%%%...........
m .........%.%%%.%%..%%....%%%%%%%%%..........................%%%...%..%%......%%%...........
m ....%.............%....%%%%%%%%%%...........................%%%..%%..%%%......%............
